Gene_Name	Num_Events	APA_ID	Transcript	Gene	Chr	LastExon.Start	LastExon.End	Strand	UTR3.Start	UTR3.End	Length	simB5.PAU	simB4.PAU	simB3.PAU	simB2.PAU	simB1.PAU	simA5.PAU	simA4.PAU	simA3.PAU	simA2.PAU	simA1.PAU
CRYAA2	2	ENSG00000276076.4_1_P	L00000619537.4	ENSG00000276076.4	chr21	6563754	6564489	+	6563964	6564489	525	56.804	56.059	54.973	57.481	57.797	57.808	58.388	56.741	59.485	57.219
CRYAA2	2	ENSG00000276076.4_2_D	L00000619537.4	ENSG00000276076.4	chr21	6563754	6565489	+	6563964	6565489	1525	43.196	43.941	45.027	42.519	42.203	42.192	41.612	43.259	40.515	42.781
CRYBA1	2	ENSG00000108255.8_1_P	L00000225387.8	ENSG00000108255.8	chr17	29254201	29254494	+	29254349	29254494	145	71.536	75.029	69.679	76.945	75.631	67.999	75.999	75.15	75.263	76.746
CRYBA1	2	ENSG00000108255.8_2_D	L00000225387.8	ENSG00000108255.8	chr17	29254201	29255494	+	29254349	29255494	1145	28.464	24.971	30.321	23.055	24.369	32.001	24.001	24.85	24.737	23.254
CRYBA2	2	ENSG00000163499.12_1_D	L00000295728.7	ENSG00000163499.12	chr2	218989189	218990399	-	218989189	218990251	1062	23.774	22.07	24.279	27.774	23.696	27.469	30.059	24.574	29.446	24.531
CRYBA2	2	ENSG00000163499.12_2_P	L00000295728.7	ENSG00000163499.12	chr2	218990189	218990399	-	218990189	218990251	62	76.226	77.93	75.721	72.226	76.304	72.531	69.941	75.426	70.554	75.469
CRYBB2	2	ENSG00000244752.3_1_P	L00000651629.1	ENSG00000244752.3	chr22	25231603	25231870	+	25231772	25231870	98	75.906	75.102	74.837	75.479	76.244	70.155	71.019	75.759	73.215	75.018
CRYBB2	2	ENSG00000244752.3_2_D	L00000651629.1	ENSG00000244752.3	chr22	25231603	25232870	+	25231772	25232870	1098	24.094	24.898	25.163	24.521	23.756	29.845	28.981	24.241	26.785	24.982
CRYBG1	2	ENSG00000112297.18_1_P	L00000633556.3	ENSG00000112297.18	chr6	106568471	106572017	+	106568566	106572017	3451	45.776	45.095	46.47	45.617	45.769	42.743	50.292	47.347	42.551	44.528
CRYBG1	2	ENSG00000112297.18_2_D	L00000633556.3	ENSG00000112297.18	chr6	106568471	106573017	+	106568566	106573017	4451	54.224	54.905	53.53	54.383	54.231	57.257	49.708	52.653	57.449	55.472
CRYGN	2	ENSG00000127377.10_1_D	L00000337323.3	ENSG00000127377.10	chr7	151427831	151430180	-	151427831	151430047	2216	49.969	51.331	52.768	51.851	53.347	41.775	47.224	52.927	54.032	51.067
CRYGN	2	ENSG00000127377.10_2_P	L00000337323.3	ENSG00000127377.10	chr7	151428831	151430180	-	151428831	151430047	1216	50.031	48.669	47.232	48.149	46.653	58.225	52.776	47.073	45.968	48.933
CSAD	2	ENSG00000139631.19_1_D	L00000267085.8	ENSG00000139631.19	chr12	53156662	53158684	-	53156662	53158510	1848	36.067	37.111	34.238	37.391	40.516	65.934	62.014	68.7	63.095	66.024
CSAD	2	ENSG00000139631.19_2_P	L00000267085.8	ENSG00000139631.19	chr12	53157662	53158684	-	53157662	53158510	848	63.933	62.889	65.762	62.609	59.484	34.066	37.986	31.3	36.905	33.976
CSDC2	2	ENSG00000172346.15_1_P	L00000306149.12	ENSG00000172346.15	chr22	41574732	41576666	+	41574895	41576666	1771	51.702	47.427	53.181	52.802	50.326	49.599	49.422	52.679	48.694	49.704
CSDC2	2	ENSG00000172346.15_2_D	L00000306149.12	ENSG00000172346.15	chr22	41574732	41577666	+	41574895	41577666	2771	48.298	52.573	46.819	47.198	49.674	50.401	50.578	47.321	51.306	50.296
CSF2	2	ENSG00000164400.6_1_P	L00000296871.4	ENSG00000164400.6	chr5	132075744	132076170	+	132075852	132076170	318	86.305	84.057	83.26	86.65	86.515	53.756	52.187	53.09	54.011	48.86
CSF2	2	ENSG00000164400.6_2_D	L00000296871.4	ENSG00000164400.6	chr5	132075744	132077170	+	132075852	132077170	1318	13.695	15.943	16.74	13.35	13.485	46.244	47.813	46.91	45.989	51.14
CSF2RB	2	ENSG00000100368.14_1_P	L00000403662.8	ENSG00000100368.14	chr22	36937376	36940439	+	36938502	36940439	1937	2.246	9.153	0	2.268	2.7	59.721	62.629	63.993	65.739	61.513
CSF2RB	2	ENSG00000100368.14_2_D	L00000403662.8	ENSG00000100368.14	chr22	36937376	36941439	+	36938502	36941439	2937	97.754	90.847	100	97.732	97.3	40.279	37.371	36.007	34.261	38.487
CSNK1G1	2	ENSG00000169118.18_1_D	L00000303052.13	ENSG00000169118.18	chr15	64164524	64171985	-	64164524	64171930	7406	35.338	37.141	35.495	34.085	36.7	80.204	78.752	80.575	80.664	78.1
CSNK1G1	2	ENSG00000169118.18_2_P	L00000303052.13	ENSG00000169118.18	chr15	64165524	64171985	-	64165524	64171930	6406	64.662	62.859	64.505	65.915	63.3	19.796	21.248	19.425	19.336	21.9
CSNK1G2	2	ENSG00000133275.16_1_P	L00000255641.13	ENSG00000133275.16	chr19	1980148	1981338	+	1980203	1981338	1135	77.528	73.909	74.039	73.832	77.991	23.818	32.158	25.287	15.49	19.882
CSNK1G2	2	ENSG00000133275.16_2_D	L00000255641.13	ENSG00000133275.16	chr19	1980148	1982338	+	1980203	1982338	2135	22.472	26.091	25.961	26.168	22.009	76.182	67.842	74.713	84.51	80.118
CSNKA2IP	2	ENSG00000283434.2_1_P	L00000637986.2	ENSG00000283434.2	chr3	88465087	88467594	+	88467562	88467594	32	65.874	60.811	64.52	68.214	71.336	14.18	17.028	17.137	0	11.841
CSNKA2IP	2	ENSG00000283434.2_2_D	L00000637986.2	ENSG00000283434.2	chr3	88465087	88468594	+	88467562	88468594	1032	34.126	39.189	35.48	31.786	28.664	85.82	82.972	82.863	100	88.159
CSPG4	2	ENSG00000173546.7_1_D	L00000308508.5	ENSG00000173546.7	chr15	75673321	75677384	-	75673321	75675549	2228	55.416	57.44	53.503	53.442	55.016	59.654	53.814	55.026	54.371	54.692
CSPG4	2	ENSG00000173546.7_2_P	L00000308508.5	ENSG00000173546.7	chr15	75674321	75677384	-	75674321	75675549	1228	44.584	42.56	46.497	46.558	44.984	40.346	46.186	44.974	45.629	45.308
CSPG5	2	ENSG00000114646.10_1_D	L00000383738.6	ENSG00000114646.10	chr3	47561238	47562761	-	47561238	47562599	1361	20.023	21.587	17.123	18.6	21.759	60.535	58.096	58.06	59.333	59.307
CSPG5	2	ENSG00000114646.10_2_P	L00000383738.6	ENSG00000114646.10	chr3	47562238	47562761	-	47562238	47562599	361	79.977	78.413	82.877	81.4	78.241	39.465	41.904	41.94	40.667	40.693
CSRNP3	2	ENSG00000178662.16_1_P	L00000314499.11	ENSG00000178662.16	chr2	165678700	165689407	+	165679753	165689407	9654	14.644	20.815	18.125	26.921	16.585	67.085	66.34	55.498	69.564	68.595
CSRNP3	2	ENSG00000178662.16_2_D	L00000314499.11	ENSG00000178662.16	chr2	165678700	165690407	+	165679753	165690407	10654	85.356	79.185	81.875	73.079	83.415	32.915	33.66	44.502	30.436	31.405
CSRP3	2	ENSG00000129170.10_1_D	L00000533783.2	ENSG00000129170.10	chr11	19181036	19182746	-	19181036	19182669	1633	12.779	12.164	11.538	10.898	11.313	65.332	58.839	77.426	72.695	66.365
CSRP3	2	ENSG00000129170.10_2_P	L00000533783.2	ENSG00000129170.10	chr11	19182036	19182746	-	19182036	19182669	633	87.221	87.836	88.462	89.102	88.687	34.668	41.161	22.574	27.305	33.635
CST11	2	ENSG00000125831.10_1_D	L00000377009.8	ENSG00000125831.10	chr20	23449411	23450589	-	23449411	23450505	1094	28.058	28.56	32.285	31.056	28.698	30.449	45.838	30.248	36.148	24.344
CST11	2	ENSG00000125831.10_2_P	L00000377009.8	ENSG00000125831.10	chr20	23450411	23450589	-	23450411	23450505	94	71.942	71.44	67.715	68.944	71.302	69.551	54.162	69.752	63.852	75.656
CST5	2	ENSG00000170367.5_1_D	L00000304710.5	ENSG00000170367.5	chr20	23874933	23876271	-	23874933	23876187	1254	54.128	57.999	49.741	53.269	51.584	11.508	10.731	9.466	8.591	9.071
CST5	2	ENSG00000170367.5_2_P	L00000304710.5	ENSG00000170367.5	chr20	23875933	23876271	-	23875933	23876187	254	45.872	42.001	50.259	46.731	48.416	88.492	89.269	90.534	91.409	90.929
CST7	2	ENSG00000077984.6_1_P	L00000480798.2	ENSG00000077984.6	chr20	24959634	24959928	+	24959712	24959928	216	63.073	56.341	62.552	60.064	67.252	80.158	80.744	80.364	80.847	81.71
CST7	2	ENSG00000077984.6_2_D	L00000480798.2	ENSG00000077984.6	chr20	24959634	24960928	+	24959712	24960928	1216	36.927	43.659	37.448	39.936	32.748	19.842	19.256	19.636	19.153	18.29
CSTA	2	ENSG00000121552.4_1_P	L00000479204.1	ENSG00000121552.4	chr3	122337546	122338270	+	122337672	122338270	598	55.32	60.51	64.003	56.8	55.603	56.776	51.781	58.432	47.642	44.818
CSTA	2	ENSG00000121552.4_2_D	L00000479204.1	ENSG00000121552.4	chr3	122337546	122339270	+	122337672	122339270	1598	44.68	39.49	35.997	43.2	44.397	43.224	48.219	41.568	52.358	55.182
CSTL1	2	ENSG00000125823.12_1_P	L00000347397.5	ENSG00000125823.12	chr20	23444770	23444930	+	23444878	23444930	52	70.031	66.115	66.912	67.253	63.63	70.2	70.168	62.882	69.205	69.353
CSTL1	2	ENSG00000125823.12_2_D	L00000347397.5	ENSG00000125823.12	chr20	23444770	23445930	+	23444878	23445930	1052	29.969	33.885	33.088	32.747	36.37	29.8	29.832	37.118	30.795	30.647
CT45A1	2	ENSG00000268940.5_1_P	L00000594117.4	ENSG00000268940.5	chrX	135722975	135723539	+	135723033	135723539	506	78.7	80.318	80.035	79.378	74.468	28.302	33.828	26.215	27.644	30.574
CT45A1	2	ENSG00000268940.5_2_D	L00000594117.4	ENSG00000268940.5	chrX	135722975	135724539	+	135723033	135724539	1506	21.3	19.682	19.965	20.622	25.532	71.698	66.172	73.785	72.356	69.426
CT45A10	2	ENSG00000269586.7_1_D	L00000611668.4	ENSG00000269586.7	chrX	135880062	135881315	-	135880062	135881257	1195	2.278	4.321	2.891	100	6.66	7.416	19.9	8.543	8.306	7.214
CT45A10	2	ENSG00000269586.7_2_P	L00000611668.4	ENSG00000269586.7	chrX	135881062	135881315	-	135881062	135881257	195	97.722	95.679	97.109	0	93.34	92.584	80.1	91.457	91.694	92.786
CT45A7	2	ENSG00000273696.4_1_D	L00000610598.4	ENSG00000273696.4	chrX	135828246	135829497	-	135828246	135829439	1193	100	100	100	19.834	27.027	100	37.825	100	100	100
CT45A7	2	ENSG00000273696.4_2_P	L00000610598.4	ENSG00000273696.4	chrX	135829246	135829497	-	135829246	135829439	193	0	0	0	80.166	72.973	0	62.175	0	0	0
CT47A12	2	ENSG00000226685.4_1_D	L00000419982.3	ENSG00000226685.4	chrX	120929249	120930413	-	120929249	120930288	1039	1.799	1.664	1.612	1.71	1.717	5.353	6.208	5.964	5.718	5.514
CT47A12	2	ENSG00000226685.4_2_P	L00000419982.3	ENSG00000226685.4	chrX	120930249	120930413	-	120930249	120930288	39	98.201	98.336	98.388	98.29	98.283	94.647	93.792	94.036	94.282	94.486
CTAG1B	2	ENSG00000184033.13_1_D	L00000359887.4	ENSG00000184033.13	chrX	154616608	154618273	-	154616608	154618035	1427	25.408	31.889	30.521	26.106	23.618	53.962	56.567	54.118	61.992	48.607
CTAG1B	2	ENSG00000184033.13_2_P	L00000359887.4	ENSG00000184033.13	chrX	154617608	154618273	-	154617608	154618035	427	74.592	68.111	69.479	73.894	76.382	46.038	43.433	45.882	38.008	51.393
CTAG2	2	ENSG00000126890.13_1_D	L00000247306.4	ENSG00000126890.13	chrX	154650971	154652631	-	154650971	154652267	1296	44.971	39.978	40.647	42.32	44.44	42.98	45.694	46.518	38.971	53.141
CTAG2	2	ENSG00000126890.13_2_P	L00000247306.4	ENSG00000126890.13	chrX	154651971	154652631	-	154651971	154652267	296	55.029	60.022	59.353	57.68	55.56	57.02	54.306	53.482	61.029	46.859
CTAGE1	2	ENSG00000212710.5_1_D	L00000391403.4	ENSG00000212710.5	chr18	22412598	22417915	-	22412598	22415573	2975	60.372	57.583	49.488	56.333	58.218	57.934	57.043	56.401	55.134	51.63
CTAGE1	2	ENSG00000212710.5_2_P	L00000391403.4	ENSG00000212710.5	chr18	22413598	22417915	-	22413598	22415573	1975	39.628	42.417	50.512	43.667	41.782	42.066	42.957	43.599	44.866	48.37
CTAGE15	2	ENSG00000271079.1_1_P	L00000420911.2	ENSG00000271079.1	chr7	143571800	143574387	+	143574151	143574387	236	44.748	48.726	40.392	47.406	49.548	43.197	45.19	44.21	46.224	44.133
CTAGE15	2	ENSG00000271079.1_2_D	L00000420911.2	ENSG00000271079.1	chr7	143571800	143575387	+	143574151	143575387	1236	55.252	51.274	59.608	52.594	50.452	56.803	54.81	55.79	53.776	55.867
CTBP2	2	ENSG00000175029.17_1_D	L00000309035.11	ENSG00000175029.17	chr10	124983316	124989698	-	124983316	124989517	6201	55.447	59.718	49.746	53.108	55.936	54.205	67.029	54.95	61.844	64.093
CTBP2	2	ENSG00000175029.17_2_P	L00000309035.11	ENSG00000175029.17	chr10	124984316	124989698	-	124984316	124989517	5201	44.553	40.282	50.254	46.892	44.064	45.795	32.971	45.05	38.156	35.907
CTBS	2	ENSG00000117151.13_1_D	L00000370630.6	ENSG00000117151.13	chr1	84548610	84555199	-	84548610	84554998	6388	28.358	26.771	27.301	30.871	28.134	76.071	78.069	79.936	76.732	75.142
CTBS	2	ENSG00000117151.13_2_P	L00000370630.6	ENSG00000117151.13	chr1	84549610	84555199	-	84549610	84554998	5388	71.642	73.229	72.699	69.129	71.866	23.929	21.931	20.064	23.268	24.858
CTCF	2	ENSG00000102974.16_1_P	L00000646076.1	ENSG00000102974.16	chr16	67637687	67639176	+	67637872	67639176	1304	45.148	45.483	44.986	44.812	47.013	46.081	43.558	42.822	38.11	46.657
CTCF	2	ENSG00000102974.16_2_D	L00000646076.1	ENSG00000102974.16	chr16	67637687	67640176	+	67637872	67640176	2304	54.852	54.517	55.014	55.188	52.987	53.919	56.442	57.178	61.89	53.343
CTDSPL2	2	ENSG00000137770.14_1_P	L00000260327.9	ENSG00000137770.14	chr15	44524108	44529038	+	44524174	44529038	4864	21.957	18.908	20.567	23.897	22.94	84.765	83.748	85.062	83.264	82.774
CTDSPL2	2	ENSG00000137770.14_2_D	L00000260327.9	ENSG00000137770.14	chr15	44524108	44530038	+	44524174	44530038	5864	78.043	81.092	79.433	76.103	77.06	15.235	16.252	14.938	16.736	17.226
CTH	2	ENSG00000116761.12_1_P	L00000370938.8	ENSG00000116761.12	chr1	70439100	70439851	+	70439127	70439851	724	82.257	81.393	82.094	81.46	81.933	33.194	33.19	32.985	33.13	33.339
CTH	2	ENSG00000116761.12_2_D	L00000370938.8	ENSG00000116761.12	chr1	70439100	70440851	+	70439127	70440851	1724	17.743	18.607	17.906	18.54	18.067	66.806	66.81	67.015	66.87	66.661
CTNNA1	2	ENSG00000044115.21_1_P	L00000627109.2	ENSG00000044115.21	chr5	138933801	138935033	+	138933823	138935033	1210	19.701	14.534	5.741	13.184	0	68.927	69.29	69.177	68.559	68.122
CTNNA1	2	ENSG00000044115.21_2_D	L00000627109.2	ENSG00000044115.21	chr5	138933801	138936033	+	138933823	138936033	2210	80.299	85.466	94.259	86.816	100	31.073	30.71	30.823	31.441	31.878
CTNNA2	2	ENSG00000066032.19_1_P	L00000466387.5	ENSG00000066032.19	chr2	80647584	80648779	+	80647872	80648779	907	52.362	48.354	49.323	57.284	41.913	50.262	50.524	51.55	51.378	52.157
CTNNA2	2	ENSG00000066032.19_2_D	L00000466387.5	ENSG00000066032.19	chr2	80647584	80649779	+	80647872	80649779	1907	47.638	51.646	50.677	42.716	58.087	49.738	49.476	48.45	48.622	47.843
CTNNBIP1	2	ENSG00000178585.15_1_D	L00000377263.6	ENSG00000178585.15	chr1	9847275	9850776	-	9847275	9850717	3442	56.999	56.331	56.185	52.64	55.939	54.346	54.03	53.937	61.213	52.391
CTNNBIP1	2	ENSG00000178585.15_2_P	L00000377263.6	ENSG00000178585.15	chr1	9848275	9850776	-	9848275	9850717	2442	43.001	43.669	43.815	47.36	44.061	45.654	45.97	46.063	38.787	47.609
CTNS	2	ENSG00000040531.16_1_P	L00000046640.9	ENSG00000040531.16	chr17	3660235	3663103	+	3660369	3663103	2734	50.913	52.785	42.083	46.393	49.709	47.493	48.151	44.906	45.031	46.193
CTNS	2	ENSG00000040531.16_2_D	L00000046640.9	ENSG00000040531.16	chr17	3660235	3664103	+	3660369	3664103	3734	49.087	47.215	57.917	53.607	50.291	52.507	51.849	55.094	54.969	53.807
CTRC	2	ENSG00000162438.12_1_P	L00000375949.5	ENSG00000162438.12	chr1	15446574	15449242	+	15446589	15449242	2653	19.698	22.837	28.038	28.285	24.5	83.755	83.93	83.876	89.089	82.073
CTRC	2	ENSG00000162438.12_2_D	L00000375949.5	ENSG00000162438.12	chr1	15446574	15450242	+	15446589	15450242	3653	80.302	77.163	71.962	71.715	75.5	16.245	16.07	16.124	10.911	17.927
CTSH	2	ENSG00000103811.18_1_D	L00000677011.1	ENSG00000103811.18	chr15	78920057	78922205	-	78920057	78922129	2072	34.538	39.104	37.557	38.765	40.235	68.338	66.663	63.577	66.64	66.003
CTSH	2	ENSG00000103811.18_2_P	L00000677011.1	ENSG00000103811.18	chr15	78921057	78922205	-	78921057	78922129	1072	65.462	60.896	62.443	61.235	59.765	31.662	33.337	36.423	33.36	33.997
CTSS	2	ENSG00000163131.12_1_D	L00000680288.1	ENSG00000163131.12	chr1	150729078	150733145	-	150729078	150733045	3967	57.439	57.066	55.765	54.542	55.901	57.629	59.1	59.856	56.807	57.923
CTSS	2	ENSG00000163131.12_2_P	L00000680288.1	ENSG00000163131.12	chr1	150730078	150733145	-	150730078	150733045	2967	42.561	42.934	44.235	45.458	44.099	42.371	40.9	40.144	43.193	42.077
CTTN	2	ENSG00000085733.16_1_P	L00000346329.7	ENSG00000085733.16	chr11	70435025	70436584	+	70435162	70436584	1422	36.937	30.07	33.034	33.273	41.152	88.487	87.372	87.305	88.695	84.963
CTTN	2	ENSG00000085733.16_2_D	L00000346329.7	ENSG00000085733.16	chr11	70435025	70437584	+	70435162	70437584	2422	63.063	69.93	66.966	66.727	58.848	11.513	12.628	12.695	11.305	15.037
CTU2	2	ENSG00000174177.13_1_P	L00000567949.5	ENSG00000174177.13	chr16	88715181	88715386	+	88715251	88715386	135	77.81	74.915	75.076	77.322	73.001	73.918	76.593	70.156	71.634	77.65
CTU2	2	ENSG00000174177.13_2_D	L00000567949.5	ENSG00000174177.13	chr16	88715181	88716386	+	88715251	88716386	1135	22.19	25.085	24.924	22.678	26.999	26.082	23.407	29.844	28.366	22.35
CTXN3	2	ENSG00000205279.8_1_P	L00000379445.7	ENSG00000205279.8	chr5	127657422	127658630	+	127657767	127658630	863	51.194	46.128	51.271	51.747	42.5	49.465	52.566	49.469	48.327	49.603
CTXN3	2	ENSG00000205279.8_2_D	L00000379445.7	ENSG00000205279.8	chr5	127657422	127659630	+	127657767	127659630	1863	48.806	53.872	48.729	48.253	57.5	50.535	47.434	50.531	51.673	50.397
CU639417.1	2	ENSG00000274559.3_1_D	L00000464664.3	ENSG00000274559.3	chr21	5971923	5973383	-	5971923	5972952	1029	27.338	30.503	31.185	36.074	23.906	72.856	78.145	77.951	84.098	69.206
CU639417.1	2	ENSG00000274559.3_2_P	L00000464664.3	ENSG00000274559.3	chr21	5972923	5973383	-	5972923	5972952	29	72.662	69.497	68.815	63.926	76.094	27.144	21.855	22.049	15.902	30.794
CUBN	2	ENSG00000107611.16_1_D	L00000377833.10	ENSG00000107611.16	chr10	16822965	16825082	-	16822965	16824974	2009	47.089	45.501	45.251	49.405	47.581	50.74	48.946	45.41	49.171	47.425
CUBN	2	ENSG00000107611.16_2_P	L00000377833.10	ENSG00000107611.16	chr10	16823965	16825082	-	16823965	16824974	1009	52.911	54.499	54.749	50.595	52.419	49.26	51.054	54.59	50.829	52.575
CUL3	2	ENSG00000036257.13_1_D	L00000264414.9	ENSG00000036257.13	chr2	224469149	224474376	-	224469149	224474244	5095	54.995	54.21	59.509	57.465	54.721	51.607	58.93	58.378	56.123	59.045
CUL3	2	ENSG00000036257.13_2_P	L00000264414.9	ENSG00000036257.13	chr2	224470149	224474376	-	224470149	224474244	4095	45.005	45.79	40.491	42.535	45.279	48.393	41.07	41.622	43.877	40.955
CUX2	2	ENSG00000111249.14_1_P	L00000261726.11	ENSG00000111249.14	chr12	111347523	111350554	+	111348325	111350554	2229	83.24	81.522	82.772	80.909	83.318	24.549	18.949	22.658	21.197	23.749
CUX2	2	ENSG00000111249.14_2_D	L00000261726.11	ENSG00000111249.14	chr12	111347523	111351554	+	111348325	111351554	3229	16.76	18.478	17.228	19.091	16.682	75.451	81.051	77.342	78.803	76.251
CUZD1	2	ENSG00000138161.14_1_D	L00000392790.6	ENSG00000138161.14	chr10	122831157	122832450	-	122831157	122832277	1120	27.101	24.423	23.902	26.737	28.428	27.107	26.966	24.689	25.862	28.375
CUZD1	2	ENSG00000138161.14_2_P	L00000392790.6	ENSG00000138161.14	chr10	122832157	122832450	-	122832157	122832277	120	72.899	75.577	76.098	73.263	71.572	72.893	73.034	75.311	74.138	71.625
CWC22	2	ENSG00000163510.14_1_D	L00000410053.8	ENSG00000163510.14	chr2	179943875	179945715	-	179943875	179945128	1253	16.212	25.399	27.267	38.462	22.595	65.683	68.643	64.464	61.747	61.622
CWC22	2	ENSG00000163510.14_2_P	L00000410053.8	ENSG00000163510.14	chr2	179944875	179945715	-	179944875	179945128	253	83.788	74.601	72.733	61.538	77.405	34.317	31.357	35.536	38.253	38.378
CWF19L1	2	ENSG00000095485.18_1_D	L00000354105.10	ENSG00000095485.18	chr10	100231297	100233371	-	100231297	100233226	1929	68.285	69.897	67.708	69.477	66.183	15.132	13.928	18.001	15.367	13.902
CWF19L1	2	ENSG00000095485.18_2_P	L00000354105.10	ENSG00000095485.18	chr10	100232297	100233371	-	100232297	100233226	929	31.715	30.103	32.292	30.523	33.817	84.868	86.072	81.999	84.633	86.098
CX3CL1	2	ENSG00000006210.7_1_P	L00000565912.1	ENSG00000006210.7	chr16	57382029	57385042	+	57383032	57385042	2010	42.652	47.812	46.956	45.158	45.693	47.063	46.153	45.955	45.933	45.425
CX3CL1	2	ENSG00000006210.7_2_D	L00000565912.1	ENSG00000006210.7	chr16	57382029	57386042	+	57383032	57386042	3010	57.348	52.188	53.044	54.842	54.307	52.937	53.847	54.045	54.067	54.575
CX3CR1	2	ENSG00000168329.14_1_D	L00000541347.5	ENSG00000168329.14	chr3	39262494	39266518	-	39262494	39265441	2947	90.357	89.11	89.264	87.921	92.647	12.928	12.607	13.691	12.394	13.556
CX3CR1	2	ENSG00000168329.14_2_P	L00000541347.5	ENSG00000168329.14	chr3	39263494	39266518	-	39263494	39265441	1947	9.643	10.89	10.736	12.079	7.353	87.072	87.393	86.309	87.606	86.444
CXCL13	2	ENSG00000156234.7_1_P	L00000286758.4	ENSG00000156234.7	chr4	77610987	77611834	+	77611039	77611834	795	84.257	88.005	84.682	88.119	83.911	26.597	27.197	30.601	29.703	31.199
CXCL13	2	ENSG00000156234.7_2_D	L00000286758.4	ENSG00000156234.7	chr4	77610987	77612834	+	77611039	77612834	1795	15.743	11.995	15.318	11.881	16.089	73.403	72.803	69.399	70.297	68.801
CXCL8	2	ENSG00000169429.11_1_P	L00000307407.8	ENSG00000169429.11	chr4	73742448	73743716	+	73742464	73743716	1252	36.909	39.073	30.017	32.635	38.905	69.481	59.296	69.289	63.607	71.284
CXCL8	2	ENSG00000169429.11_2_D	L00000307407.8	ENSG00000169429.11	chr4	73742448	73744716	+	73742464	73744716	2252	63.091	60.927	69.983	67.365	61.095	30.519	40.704	30.711	36.393	28.716
CXCR2	2	ENSG00000180871.8_1_P	L00000318507.7	ENSG00000180871.8	chr2	218134776	218137251	+	218135884	218137251	1367	44.177	43.02	47.791	46.732	40.953	46.754	52.471	47.078	40.723	43.687
CXCR2	2	ENSG00000180871.8_2_D	L00000318507.7	ENSG00000180871.8	chr2	218134776	218138251	+	218135884	218138251	2367	55.823	56.98	52.209	53.268	59.047	53.246	47.529	52.922	59.277	56.313
CXCR3	2	ENSG00000186810.8_1_D	L00000373691.4	ENSG00000186810.8	chrX	71614915	71617703	-	71614915	71616364	1449	100	100	100	100	100	13.382	13.089	14.602	16.281	12.522
CXCR3	2	ENSG00000186810.8_2_P	L00000373691.4	ENSG00000186810.8	chrX	71615915	71617703	-	71615915	71616364	449	0	0	0	0	0	86.618	86.911	85.398	83.719	87.478
CXCR6	2	ENSG00000172215.6_1_P	L00000458629.1	ENSG00000172215.6	chr3	45945018	45947823	+	45947510	45947823	313	19.17	31.931	36.739	36.297	28.382	60.804	62.568	58.872	59.313	60.999
CXCR6	2	ENSG00000172215.6_2_D	L00000458629.1	ENSG00000172215.6	chr3	45945018	45948823	+	45947510	45948823	1313	80.83	68.069	63.261	63.703	71.618	39.196	37.432	41.128	40.687	39.001
CXorf51A	2	ENSG00000224440.1_1_D	L00000458472.1	ENSG00000224440.1	chrX	146813105	146814401	-	146813105	146814206	1101	62.201	65.199	53.272	63.342	59.354	13.824	17.585	16.546	17.433	18.959
CXorf51A	2	ENSG00000224440.1_2_P	L00000458472.1	ENSG00000224440.1	chrX	146814105	146814401	-	146814105	146814206	101	37.799	34.801	46.728	36.658	40.646	86.176	82.415	83.454	82.567	81.041
CYB561A3	1	ENSG00000162144.10_1_S	L00000537364.5	ENSG00000162144.10	chr11	61351985	61353139	-	61351985	61352985	1000	100	100	100	100	100	100	100	100	100	100
CYB5RL	2	ENSG00000215883.10_1_D	L00000287899.13	ENSG00000215883.10	chr1	54168650	54174822	-	54168650	54174618	5968	56.178	53.31	55.58	56.262	55.352	56	54.789	56.075	58.433	58.326
CYB5RL	2	ENSG00000215883.10_2_P	L00000287899.13	ENSG00000215883.10	chr1	54169650	54174822	-	54169650	54174618	4968	43.822	46.69	44.42	43.738	44.648	44	45.211	43.925	41.567	41.674
CYBC1	2	ENSG00000178927.18_1_D	L00000437807.6	ENSG00000178927.18	chr17	82441643	82444124	-	82441643	82444003	2360	25.487	24.661	26.491	28.406	24.104	71.622	67.842	69.454	68.419	65.602
CYBC1	2	ENSG00000178927.18_2_P	L00000437807.6	ENSG00000178927.18	chr17	82442643	82444124	-	82442643	82444003	1360	74.513	75.339	73.509	71.594	75.896	28.378	32.158	30.546	31.581	34.398
CYP1A1	2	ENSG00000140465.14_1_D	L00000395048.6	ENSG00000140465.14	chr15	74718541	74720774	-	74718541	74720488	1947	76.361	71.793	83.528	68.609	67.796	26.063	22.925	22.83	24.933	24.16
CYP1A1	2	ENSG00000140465.14_2_P	L00000395048.6	ENSG00000140465.14	chr15	74719541	74720774	-	74719541	74720488	947	23.639	28.207	16.472	31.391	32.204	73.937	77.075	77.17	75.067	75.84
CYP20A1	2	ENSG00000119004.16_1_P	L00000356079.9	ENSG00000119004.16	chr2	203296757	203306026	+	203296908	203306026	9118	35.873	43.531	43.072	42.105	35.515	30.341	27.148	30.491	30.292	28.731
CYP20A1	2	ENSG00000119004.16_2_D	L00000356079.9	ENSG00000119004.16	chr2	203296757	203307026	+	203296908	203307026	10118	64.127	56.469	56.928	57.895	64.485	69.659	72.852	69.509	69.708	71.269
CYP26B1	2	ENSG00000003137.9_1_D	L00000001146.7	ENSG00000003137.9	chr2	72128237	72132619	-	72128237	72132226	3989	66.054	60.699	52.268	69.286	55.324	57.354	61.478	61.311	58.665	57.24
